id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,quality_grade,license,url,image_url,sound_url,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
177068760,e3130543-7db8-44e3-ae98-b9c6707a6bf3,2023-08-06 16:00:05,2023-08-06,2023-08-06 23:00:05 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/177068760,https://inaturalist-open-data.s3.amazonaws.com/photos/307917296/medium.jpeg,https://static.inaturalist.org/sounds/787196.wav?1691362846,2,0,false,"Santa Cruz, CA 95062, USA",36.98020731,-122.00001466,3,3,Eastern Gray Squirrel,Sciurus carolinensis,Eastern Gray Squirrel,Mammalia,46017
177204687,f7522d26-e9fa-4517-915d-3a742f0f1ee4,2023-08-07 10:30:09-07:00,2023-08-07,2023-08-07 17:30:09 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/177204687,,https://static.inaturalist.org/sounds/787738.m4a?1691430600,1,0,false,"California, US",37.7177283925,-121.8828019505,6,28359,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
177422852,9be284d7-4679-47bf-afca-c8b924bb1164,2023-08-08 16:10:20-07:00,2023-08-08,2023-08-08 23:10:20 UTC,Pacific Time (US & Canada),research,CC-BY-NC-ND,https://www.inaturalist.org/observations/177422852,,https://static.inaturalist.org/sounds/788635.m4a?1691536276,1,0,false,"MacKerricher State Park, Mendocino County, US-CA, US",39.4541013876,-123.8119284001,4,4,Douglas's Ground Squirrel,Otospermophilus douglasii,Douglas's Ground Squirrel,Mammalia,1511713
177477080,4eddc74c-d4a9-4657-b3a6-f7f298b2add6,2023-08-09 02:30:12-07:00,2023-08-09,2023-08-09 09:30:12 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/177477080,,https://static.inaturalist.org/sounds/788869.m4a?1691573441,1,0,false,"San Diego County, US-CA, US",33.141340913,-117.056901559,74,29012,Coyote,Canis latrans,Coyote,Mammalia,42051
177757313,8f573102-2f27-43b5-8345-8b6c4ede37fe,2023-08-10 13:51:47-07:00,2023-08-10,2023-08-10 20:51:47 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/177757313,,https://static.inaturalist.org/sounds/789969.m4a?1691716097,2,0,false,"W Olive Ave, Sunnyvale, CA, US",37.1601579467,-121.8999608045,87,87,Merriam's Chipmunk,Neotamias merriami,Merriam's Chipmunk,Mammalia,197810
177869179,e5af59d0-f4b6-4ba4-8ed3-e614539c8893,2023-08-11 11:56:55-07:00,2023-08-11,2023-08-11 18:56:55 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/177869179,,https://static.inaturalist.org/sounds/790445.m4a?1691780245,2,0,false,"Sierra National Forest, Shaver Lake, CA, US",37.1212452437,-119.312689087,16,16,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
177892807,302bf77e-829a-4ed6-baa6-c2557ea9297e,2023-08-11 11:22:29,2023-08-11,2023-08-11 18:22:29 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/177892807,,https://static.inaturalist.org/sounds/790518.wav?1691789515,2,0,false,"West Covina, CA 91792, USA",34.0394332,-117.9134348,15,15,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
178056402,fba3cd2c-588c-4662-95b2-6bd620cd7bf4,2023-08-12 13:26:14-07:00,2023-08-12,2023-08-12 20:26:14 UTC,Pacific Time (US & Canada),research,CC-BY-NC,https://www.inaturalist.org/observations/178056402,,https://static.inaturalist.org/sounds/791268.m4a?1691872229,1,0,false,"Pierce Point Rd, Inverness, CA, US",38.1873640218,-122.9532466489,321,321,Tule Elk,Cervus canadensis nannodes,Tule Elk,Mammalia,566549
178079796,2acb20eb-93d2-47f6-ab13-41bbd1b7239f,2023-08-12 15:54:14-07:00,2023-08-12,2023-08-12 22:54:14 UTC,Pacific Time (US & Canada),research,,https://www.inaturalist.org/observations/178079796,,https://static.inaturalist.org/sounds/791387.m4a?1691880877,2,0,false,"Evans Rd, Los Angeles, CA, US",34.056001911,-118.5068495014,8,8,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
178237496,08407fa9-2d44-426c-9f18-0b300750dc9f,2023-08-13 10:02:16,2023-08-13,2023-08-13 17:02:16 UTC,Pacific Time (US & Canada),research,CC0,https://www.inaturalist.org/observations/178237496,,https://static.inaturalist.org/sounds/792031.wav?1691954595,1,0,false,"Santa Clarita Woodlands Park, Los Angeles County, US-CA, US",34.34303267,-118.54687236,6,6,California Ground Squirrel,Otospermophilus beecheyi,California Ground Squirrel,Mammalia,180007
